,Unnamed: 0,Timestamp,Light,chamber_1_loc,chamber_2_loc,chamber_3_loc,chamber_4_loc,chamber_5_loc,chamber_6_loc,chamber_7_loc,chamber_8_loc,chamber_9_loc,chamber_10_loc,chamber_11_loc,chamber_12_loc,chamber_13_loc,chamber_14_loc,chamber_15_loc,chamber_16_loc,chamber_17_loc,chamber_18_loc,chamber_19_loc,chamber_20_loc,chamber_1_shock,chamber_2_shock,chamber_3_shock,chamber_4_shock,chamber_5_shock,chamber_6_shock,chamber_7_shock,chamber_8_shock,chamber_9_shock,chamber_10_shock,chamber_11_shock,chamber_12_shock,chamber_13_shock,chamber_14_shock,chamber_15_shock,chamber_16_shock,chamber_17_shock,chamber_18_shock,chamber_19_shock,chamber_20_shock,mch_right_status,oct_right_status,moil_right_status,mch_left_status,oct_left_status,moil_left_status
4190,4190,2024-09-04 12:46:49,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,17.142857142857153,65.71428571428572,7.142857142857139,15.714285714285722,15.714285714285715,-30.0,-58.57142857142857,-73.33333333333333,58.51851851851853,34.81481481481481,76.2962962962963,92.59259259259258,31.851851851851848,-89.62962962962963,92.59259259259258,74.81481481481481,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4191,4191,2024-09-04 12:46:49,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,17.142857142857153,65.71428571428572,7.142857142857139,12.85714285714286,15.714285714285722,-30.0,-58.57142857142857,-71.85185185185185,58.51851851851853,34.81481481481481,77.77777777777777,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,80.74074074074073,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4192,4192,2024-09-04 12:46:49,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,18.57142857142857,65.71428571428572,7.142857142857139,11.42857142857143,18.57142857142857,-30.0,-58.57142857142857,-70.37037037037038,58.51851851851853,34.81481481481481,76.2962962962963,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,83.7037037037037,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4193,4193,2024-09-04 12:46:49,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,20.0,65.71428571428572,7.142857142857139,11.42857142857143,21.42857142857143,-30.0,-58.57142857142857,-68.88888888888889,58.51851851851853,34.81481481481481,74.81481481481481,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,82.22222222222223,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4194,4194,2024-09-04 12:46:49,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,18.57142857142857,65.71428571428572,7.142857142857139,11.428571428571423,27.14285714285714,-30.0,-55.71428571428572,-68.88888888888889,58.51851851851853,34.81481481481481,73.33333333333333,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,88.14814814814815,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4195,4195,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,18.57142857142857,65.71428571428572,7.142857142857139,11.428571428571423,28.571428571428584,-30.0,-55.71428571428572,-71.85185185185185,58.51851851851853,34.81481481481481,76.2962962962963,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,86.66666666666666,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4196,4196,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,18.57142857142857,65.71428571428572,7.142857142857139,11.428571428571423,32.85714285714286,-30.0,-55.71428571428572,-71.11111111111111,58.51851851851853,34.81481481481481,74.81481481481481,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4197,4197,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,18.57142857142857,65.71428571428572,7.142857142857139,11.428571428571423,34.28571428571428,-30.0,-55.71428571428572,-68.88888888888889,58.51851851851853,34.81481481481481,73.33333333333334,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198,4198,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,20.0,65.71428571428572,5.714285714285722,11.428571428571423,35.71428571428572,-30.0,-55.71428571428572,-68.88888888888889,58.51851851851853,34.81481481481481,76.2962962962963,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4199,4199,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,20.0,65.71428571428572,5.714285714285722,11.428571428571423,37.14285714285714,-30.0,-58.57142857142857,-68.88888888888889,58.51851851851853,34.81481481481481,70.37037037037037,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4200,4200,2024-09-04 12:46:50,light_state,88.57142857142856,-88.57142857142857,-15.714285714285708,20.0,65.71428571428572,5.714285714285722,11.428571428571423,41.428571428571445,-30.0,-55.71428571428572,-67.4074074074074,58.51851851851853,34.81481481481481,69.62962962962963,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4201,4201,2024-09-04 12:46:50,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,5.714285714285722,11.428571428571423,41.428571428571445,-30.0,-55.71428571428572,-65.92592592592592,58.51851851851853,34.81481481481481,68.88888888888889,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202,4202,2024-09-04 12:46:50,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,5.714285714285722,11.428571428571423,42.85714285714286,-30.0,-55.71428571428572,-65.92592592592592,58.51851851851853,34.81481481481481,68.14814814814814,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,4203,2024-09-04 12:46:50,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,45.714285714285694,-30.0,-55.71428571428572,-67.4074074074074,58.51851851851853,34.81481481481481,70.37037037037038,92.59259259259258,31.851851851851848,-89.62962962962963,91.11111111111111,91.11111111111111,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4204,4204,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,48.57142857142858,-30.0,-54.285714285714285,-68.88888888888889,58.51851851851853,34.81481481481481,70.37037037037038,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4205,4205,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,55.0,-30.0,-54.285714285714285,-64.44444444444444,58.51851851851853,34.81481481481481,62.96296296296296,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,89.62962962962965,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4206,4206,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,57.14285714285714,-30.0,-54.285714285714285,-61.48148148148148,58.51851851851853,34.81481481481481,65.92592592592592,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,88.14814814814815,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4207,4207,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,60.0,-30.0,-60.0,-62.96296296296296,58.51851851851853,34.81481481481481,62.96296296296296,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,86.66666666666666,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4208,4208,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.428571428571423,62.85714285714286,-30.0,-60.0,-62.96296296296296,58.51851851851853,34.81481481481481,61.481481481481495,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,85.18518518518519,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4209,4209,2024-09-04 12:46:51,light_state,88.57142857142856,-85.71428571428572,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,12.85714285714286,62.14285714285714,-30.0,-58.57142857142857,-61.48148148148148,58.51851851851853,34.81481481481481,58.51851851851853,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,85.18518518518519,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4210,4210,2024-09-04 12:46:51,light_state,88.57142857142856,-85.71428571428572,-22.857142857142847,20.0,65.71428571428572,8.57142857142857,11.42857142857143,65.00000000000001,-30.0,-55.71428571428572,-61.48148148148148,58.51851851851853,34.81481481481481,55.55555555555557,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,87.4074074074074,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4211,4211,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,8.57142857142857,11.42857142857143,67.14285714285714,-30.0,-54.285714285714285,-61.48148148148148,58.51851851851853,34.81481481481481,52.59259259259258,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,85.18518518518519,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4212,4212,2024-09-04 12:46:51,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,8.57142857142857,14.285714285714278,74.28571428571428,-30.0,-52.85714285714286,-60.0,48.14814814814815,34.81481481481481,51.11111111111112,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,82.22222222222223,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4213,4213,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,8.57142857142857,14.285714285714278,78.57142857142858,-30.0,-50.0,-58.51851851851852,48.14814814814815,34.81481481481481,51.11111111111112,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,79.25925925925924,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4214,4214,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,7.142857142857139,14.285714285714278,80.0,-30.0,-50.0,-58.51851851851852,48.14814814814815,34.81481481481481,48.14814814814815,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,77.77777777777777,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4215,4215,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,7.142857142857139,14.285714285714278,80.0,-30.0,-52.85714285714286,-60.0,43.70370370370373,34.81481481481481,46.66666666666666,92.59259259259258,31.851851851851848,-89.62962962962963,88.14814814814815,74.81481481481481,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4216,4216,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,7.142857142857139,14.285714285714278,80.0,-30.0,-48.57142857142858,-61.48148148148148,42.22222222222223,34.81481481481481,45.18518518518519,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,73.33333333333334,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4217,4217,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,7.142857142857139,14.285714285714278,85.71428571428572,-30.0,-48.57142857142858,-61.48148148148148,39.25925925925927,34.81481481481481,43.70370370370373,92.59259259259258,31.851851851851848,-89.62962962962963,89.62962962962965,71.85185185185185,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4218,4218,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-24.28571428571429,20.0,65.71428571428572,7.142857142857139,15.714285714285722,87.14285714285714,-30.0,-44.285714285714285,-61.48148148148148,36.29629629629631,34.81481481481481,40.74074074074073,92.59259259259258,30.37037037037038,-89.62962962962963,92.59259259259258,71.85185185185185,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4219,4219,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-25.714285714285708,20.0,65.71428571428572,4.285714285714292,15.714285714285722,88.57142857142856,-30.0,-52.85714285714286,-61.48148148148148,27.40740740740742,34.81481481481481,37.77777777777777,92.59259259259258,30.37037037037038,-89.62962962962963,92.59259259259258,70.37037037037038,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4220,4220,2024-09-04 12:46:52,light_state,88.57142857142856,-87.14285714285714,-25.714285714285708,20.0,65.71428571428572,2.857142857142847,14.285714285714278,88.57142857142856,-30.0,-51.42857142857143,-61.48148148148148,21.48148148148148,34.81481481481481,33.33333333333333,92.59259259259258,30.37037037037038,-89.62962962962963,88.14814814814815,68.88888888888889,-94.07407407407408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
